Indice,Learning Rate,Epoch,Train Loss,Train Accuracy
3,0.0001,1,0.5295054140429811,0.6504639669118194
3,0.0001,2,0.47920038058673065,0.7201642389829994
3,0.0001,3,0.4572929057978131,0.7347100620947513
3,0.0001,4,0.46085501104441995,0.7266249777701905
3,0.0001,5,0.4500119465861829,0.7318835553784055
3,0.0001,6,0.4482211969830663,0.7330062740345291
3,0.0001,7,0.43909475597633324,0.7408097697998667
3,0.0001,8,0.44825526687699524,0.7325014724344167
3,0.0001,9,0.4426186309853181,0.737604272910181
3,0.0001,10,0.4406913607253641,0.7421833328789261
3,0.0001,11,0.4355705953491521,0.738594560574759
3,0.0001,12,0.42546461366759947,0.7489002314920958
3,0.0001,13,0.422836748113487,0.7519606430518445
3,0.0001,14,0.4225620187478622,0.748006539901501
3,0.0001,15,0.429873615109981,0.7505285785888052
3,0.0001,16,0.42160546162406803,0.752375546566726
3,0.0001,17,0.4214011942674666,0.7525162701679365
3,0.0001,18,0.41664718443972204,0.7549069012482155
3,0.0001,19,0.409565672414557,0.7567514661604983
3,0.0001,20,0.4105515741454768,0.7593543609386774
3,0.0001,21,0.40400257497874614,0.761582726028365
3,0.0001,22,0.4057454723997164,0.7615840185717277
3,0.0001,23,0.40220022298357816,0.7625422104966217
3,0.0001,24,0.3961178140591849,0.765365992705834
3,0.0001,25,0.398026096034171,0.7658479729279649
