Indice,Learning Rate,Epoch,Validation Loss,Validation Accuracy,Precision,Recall,F1
1,0.0001,1,0.520379563643469,85.36108929964038,0.5952089951742836,0.7693509060025621,0.6073630871323049
1,0.0001,2,0.48945088183145385,80.90509622582893,0.5863026126508574,0.77916414561802,0.5817036677368908
1,0.0001,3,0.48955790352482365,71.41179360484625,0.5723616405904719,0.7739570213695626,0.5268758529464523
1,0.0001,4,0.4728013960671086,77.78945398556678,0.5826282624200049,0.7864322572391707,0.5652673296427213
1,0.0001,5,0.4696748154988221,74.12338618418617,0.5779519560994596,0.7872128656570759,0.5439116945007657
1,0.0001,6,0.4802289867853101,74.1486996836007,0.5769174510738537,0.7840851490374865,0.5417498481300307
1,0.0001,7,0.4860218350921197,67.52937416329769,0.5692823912844174,0.7713549867593376,0.5053740588127407
1,0.0001,8,0.48101538391474863,83.88655513383766,0.5952658395684575,0.7860036421876001,0.6026870638535078
1,0.0001,9,0.45870269531322316,75.03368052261136,0.5807777082539083,0.7940090405609678,0.5513454068888224
1,0.0001,10,0.47874596446611306,84.02638367567017,0.5960443964410022,0.7863793034661739,0.6044027390726519
1,0.0001,11,0.4740348201227414,83.09844952623992,0.5942953418007563,0.7908674765784831,0.5986360542826227
1,0.0001,12,0.4504459209351743,76.1590776850262,0.5835530739100256,0.7997924457391802,0.5589304473150579
1,0.0001,13,0.4568192585949649,77.14487952643661,0.5843246104044988,0.798555552317082,0.563164675407574
1,0.0001,14,0.4466367423251907,80.71520249425518,0.5923013199601941,0.8046235078323669,0.587282360532404
1,0.0001,15,0.4510394091854728,77.30308415200473,0.5854358777211894,0.8017607548508681,0.5652536761782277
1,0.0001,16,0.4450476519869402,80.05294935398192,0.5910853360183987,0.8056036810378933,0.582987471339471
1,0.0001,17,0.45463352971732335,84.5762040377793,0.6013649154243106,0.7999944754739892,0.6125357199695101
1,0.0001,18,0.43249126181218295,81.29422156166692,0.5956285068100352,0.8111910114560839,0.5939970626900315
1,0.0001,19,0.47486523542358977,84.3381041034138,0.5999533787536564,0.8011376285384442,0.608950872878775
1,0.0001,20,0.4316281029398407,78.28965028880332,0.5901884749696494,0.8130551179371124,0.575560531549596
1,0.0001,21,0.43293509551134157,81.01082526112054,0.5948830162214778,0.8117542720611987,0.5915701605203584
1,0.0001,22,0.4255185692231237,80.82910329809685,0.5956511885786833,0.8168439791034285,0.5914283037849679
1,0.0001,23,0.42124963823652944,80.49741401491572,0.5958480577805112,0.8189957545052806,0.5909714635488207
1,0.0001,24,0.47143544517987146,88.02668630229353,0.6124091167295694,0.795913537681159,0.635377296927812
1,0.0001,25,0.41438255490849935,81.5975582430148,0.5992746564256641,0.8217657769641921,0.5996772581901346
